Campaign,Match type,Search term,Added/Excluded,Ad group,Clicks,Impressions,CTR,Avg. CPC,Cost,Avg. position,Conversions,Cost / conv.,Conv. rate,All conv.,View-through conv.
"Android US, Broad",broad,second number that doesnt show it from a text app,None,Second Number,1,1,100.00%,0.46,0.46,2,0,0,0.00%,0,0
Android US Broad,exact,phone number changer,Added,Change Number,7,26,26.92%,0.55,3.83,1,2,1.92,28.57%,4,0
Android US Broad,broad,app to change phone number,None,Change Number,0,2,0.00%,0,0,1,0,0,0.00%,0,0
Android US Broad,exact,change my number app,Added,Change Number,7,22,31.82%,0.46,3.25,1.1,1,3.25,14.29%,3,0
Android US Broad,broad,2nd phone number,None,Second Number,0,1,0.00%,0,0,1,0,0,0.00%,0,0
Android US Broad,broad,text from another number,None,Second Number,1,1,100.00%,0.57,0.57,1,1,0.57,100.00%,2,0
Android US Broad,phrase,sideline second phone number free gps for phone number 2679547355,None,Second Number,1,1,100.00%,1.05,1.05,2,0,0,0.00%,0,0
Android US Broad,broad,apps that change your phone number,None,Change Number,1,1,100.00%,0.45,0.45,1,0,0,0.00%,0,0
Android US Broad,exact,change my phone number,Added,Change Number,0,1,0.00%,0,0,1,0,0,0.00%,0,0
Android US Broad,broad,number changer app for calling and texting,None,Change Number,0,1,0.00%,0,0,1,0,0,0.00%,0,0
Android US Broad,broad,what's the app to add a second phone number to your phone,None,Second Number,1,1,100.00%,0.44,0.44,3,1,0.44,100.00%,2,0
Android US Broad,broad,phone number changer free app,None,Change Number,1,2,50.00%,0.73,0.73,1,1,0.73,100.00%,2,0
Android US Broad,broad,change my number app for texting,None,Change Number,0,1,0.00%,0,0,1,0,0,0.00%,0,0
Android US Broad,broad,app to change your number when calling,None,Change Number,2,1,200.00%,0.63,1.26,1,1,1.26,50.00%,2,0
Android US Broad,broad,2nd phone number for free,None,Second Number,0,2,0.00%,0,0,1,0,0,0.00%,0,0
Android US Broad,phrase,phone number changer text messaging,None,Change Number,0,1,0.00%,0,0,1,0,0,0.00%,0,0
Android US Broad,exact,change your phone number app,Added,Change Number,0,2,0.00%,0,0,1,0,0,0.00%,0,0
Android US Broad,broad,second phone line free,None,Second Number,4,2,200.00%,0.77,3.08,1,0,0,0.00%,0,0
Android US Broad,broad,free phone number,None,Second Number,0,3,0.00%,0,0,4.7,0,0,0.00%,0,0
Android US Broad,broad,anonymous number,None,Anonymous Call,1,1,100.00%,0.53,0.53,1,1,0.53,100.00%,2,0
Android US Broad,exact,free second phone number,Added,Second Number,0,7,0.00%,0,0,2.6,0,0,0.00%,0,0
Android US Broad,broad,app that changes your phone number,None,Change Number,1,1,100.00%,0.4,0.4,2,0,0,0.00%,0,0
Android US Broad,broad,change your number app,None,Change Number,1,1,100.00%,0.53,0.53,1,0,0,0.00%,0,0
Android US Broad,exact,change number app,Added,Change Number,1,2,50.00%,0.7,0.7,1.5,1,0.7,100.00%,2,0
